IncidentGroup;StopCodeDescription;PropertyCategory;PropertyType;AddressQualifier;Postcode_district;IncGeo_BoroughCode;ProperCase;IncidentStationGround;FirstPumpArriving_DeployedFromStation
;;;Sewage works ;;SW1E;;;;
;;;Motor racing circuit ;;EC3N;;;;
;;;Greenhouse (commercial) polytunnel ;;EC4Y;;;;
;;;Other tent/marquee ;;EC4R;;;;
;;;Tram ;;EC2N;;;;
;;;Military helicopter ;;KT4;;;;
;;;Large passenger vessel ;;SW14;;;;
;;;Ferry terminal ;;EC2R;;;;
;;;Common external bin storage area;;W1B;;;;
;;;Animal boarding/breeding establishment - cats;;N21;;;;
;;;Hedge;;KT9;;;;
;;;Human harm outdoors;;EC4M;;;;
;;;Fence;;EC4N;;;;
;;;Medical/health centre;;EC2M;;;;
;;;Bicycle;;BR7;;;;
;;;Dental surgery;;DA6;;;;
;;;Doctors surgery;;UB11;;;;
;;;Ministry of Defence office;;EC4V;;;;
;;;Golf clubhouse;;EC3M;;;;
;;;Playground/Recreation area (not equipment);;WC1R;;;;
;;;Food and drink processing;;DA18;;;;
;;;Towing caravan (not on tow or on site);;KT8;;;;
;;;Health spa/farm;;RM2;;;;
;;;Trailer (not attached to tractor unit);;WC1A;;;;
;;;Animal harm outdoors;;IG9;;;;
;;;Distillery plant;;WC14;;;;
;;;Veterinary surgery;;W1A;;;;
;;;Bakery;;RM5;;;;
;;;Greenhouse (commercial) glass ;;W1V;;;;
;;;Stately Home (part not open to public);;EN8;;;;
;;;Golf course (not building on course);;TW15;;;;
;;;Royal Palace (part not open to public);;TN14;;;;
;;;Mine or quarry building above ground;;EC3P;;;;
;;;Freight Train ;;CR3;;;;
;;;Racecourse ;;TW19;;;;
;;;Wheelie bin (domestic size);;EC2P;;;;
;;;Freight plane ;;EC47;;;;
;;;Naval vessel ;;W1N;;;;
;;;Castle (part not open to public);;WC2;;;;
;;;Sea ;;BR8;;;;
;;;Fishing boat ;;EN6;;;;
;;;;;CM13;;;;
;;;;;EC1;;;;
;;;;;N1C;;;;
;;;;;W17;;;;
;;;;;CR6;;;;
;;;;;E4A;;;;
;;;;;KT17;;;;
;;;;;EN7;;;;
;;;;;SM7;;;;
;;;;;EC17;;;;
;;;;;CM14;;;;
;;;;;SW99;;;;
;;;;;RM15;;;;
;;;;;W1M;;;;
;;;;;KT18;;;;
;;;;;W1;;;;
;;;;;WD3;;;;
;;;;;EC2;;;;
;;;;;E98;;;;
;;;;;E20;;;;
;;;;;WD23;;;;
;;;;;WD6;;;;
;;;;;CR44;;;;
;;;;;KT19;;;;
;;;;;SE1P;;;;
;;;;;KT22;;;;
;;;;;SL3;;;;
;;;;;SL0;;;;
;;;;;TW16;;;;
;;;;;RM19;;;;
